"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-09-01 00:00","2019","09","01","00:00","18.1","","12.0","","67","","8","","8","","16.1","","101.66","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-09-01 01:00","2019","09","01","01:00","17.6","","11.4","","67","","6","","9","","16.1","","101.66","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-09-01 02:00","2019","09","01","02:00","17.7","","11.0","","64","","7","","13","","16.1","","101.64","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-09-01 03:00","2019","09","01","03:00","17.3","","10.2","","63","","6","","13","","16.1","","101.63","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-09-01 04:00","2019","09","01","04:00","17.0","","10.9","","67","","7","","11","","16.1","","101.62","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-09-01 05:00","2019","09","01","05:00","16.9","","10.8","","67","","6","","15","","16.1","","101.56","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-09-01 06:00","2019","09","01","06:00","17.2","","11.6","","69","","3","","15","","16.1","","101.58","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-09-01 07:00","2019","09","01","07:00","17.0","","13.6","","80","","6","","22","","16.1","","101.52","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-09-01 08:00","2019","09","01","08:00","17.9","","15.1","","83","","5","","22","","16.1","","101.51","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-09-01 09:00","2019","09","01","09:00","19.3","","15.7","","79","","6","","21","","16.1","","101.48","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-09-01 10:00","2019","09","01","10:00","19.4","","14.3","","72","","9","","15","","16.1","","101.44","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-09-01 11:00","2019","09","01","11:00","19.1","","14.5","","75","","9","","11","","16.1","","101.43","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-09-01 12:00","2019","09","01","12:00","18.9","","14.6","","76","","7","","15","","16.1","","101.37","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-09-01 13:00","2019","09","01","13:00","18.8","","15.1","","79","","3","","13","","16.1","","101.35","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-09-01 14:00","2019","09","01","14:00","18.5","","15.7","","84","","9","","9","","16.1","","101.29","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-09-01 15:00","2019","09","01","15:00","18.4","","15.7","","84","","6","","13","","16.1","","101.17","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-09-01 16:00","2019","09","01","16:00","18.3","","15.5","","84","","6","","17","","16.1","","101.11","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-09-01 17:00","2019","09","01","17:00","18.3","","15.9","","86","","7","","21","","16.1","","101.05","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-09-01 18:00","2019","09","01","18:00","18.3","","16.0","","86","","6","","15","","16.1","","101.03","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-09-01 19:00","2019","09","01","19:00","18.3","","16.3","","88","","6","","8","","16.1","","101.01","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-09-01 20:00","2019","09","01","20:00","18.7","","17.1","","90","","","M","4","","16.1","","100.94","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-09-01 21:00","2019","09","01","21:00","18.7","","17.1","","90","","15","","5","","16.1","","100.88","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-09-01 22:00","2019","09","01","22:00","18.5","","17.0","","91","","","","0","","16.1","","100.87","","","","","","NA"
