"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-08-01 00:00","2019","08","01","00:00","20.0","","12.4","","61","","33","","18","","16.1","","101.03","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-08-01 01:00","2019","08","01","01:00","19.6","","12.7","","64","","33","","17","","16.1","","101.05","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-08-01 02:00","2019","08","01","02:00","19.1","","12.8","","67","","33","","11","","16.1","","101.08","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-08-01 03:00","2019","08","01","03:00","19.1","","12.5","","65","","33","","8","","16.1","","101.10","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-08-01 04:00","2019","08","01","04:00","20.3","","10.5","","53","","","M","4","","16.1","","101.11","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-08-01 05:00","2019","08","01","05:00","20.2","","9.7","","50","","4","","17","","16.1","","101.12","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-08-01 06:00","2019","08","01","06:00","20.3","","9.3","","49","","4","","18","","16.1","","101.14","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-08-01 07:00","2019","08","01","07:00","20.8","","10.1","","50","","5","","18","","16.1","","101.20","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-08-01 08:00","2019","08","01","08:00","22.0","","11.6","","51","","7","","13","","16.1","","101.25","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-08-01 09:00","2019","08","01","09:00","22.2","","11.3","","49","","8","","15","","16.1","","101.28","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-08-01 10:00","2019","08","01","10:00","22.5","","11.9","","51","","8","","15","","14.5","","101.31","","25","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-08-01 11:00","2019","08","01","11:00","22.9","","11.9","","50","","8","","17","","16.1","","101.31","","25","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-08-01 12:00","2019","08","01","12:00","22.4","","12.5","","53","","7","","17","","16.1","","101.31","","25","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-08-01 13:00","2019","08","01","13:00","22.2","","13.9","","59","","7","","11","","16.1","","101.28","","26","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-08-01 14:00","2019","08","01","14:00","23.2","","14.5","","58","","7","","11","","16.1","","101.24","","27","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-08-01 15:00","2019","08","01","15:00","24.8","","14.6","","52","","13","","11","","16.1","","101.19","","29","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-08-01 16:00","2019","08","01","16:00","24.2","","12.9","","49","","14","","5","","16.1","","101.15","","27","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-08-01 17:00","2019","08","01","17:00","24.3","","13.1","","49","","13","","8","","16.1","","101.11","","27","","","","NA"
