MATERIAL,source,Banner,SRC_BAN_POS,Plan_Banner,Plan_Region,CL4Key,CL6Key,pos_date,Pos_Qty_EA,Pos_Sales,POS_QTY_CS,UBP,UNIT,FACTOR_EACH,PER_SALES_UOM_CASE,Complete_PPG,Total_Sales,Baseline_Qty,Baseline_Nps,ForecastDate,Incr_Sales,PromoId,InStoreStart,InStoreEnd,PromoDuration,MATERIALDESC,SUB_CATEGORY,SUB_CATEGORY_DESC,CATEGORY,CATEGORY_DESC,FGroup_Desc
11005258,Company A,Company A ONTARIO,2022-02-26,Company A,ONTARIO,292278,292696,2022-02-26,193,577.07,16.0833,35.16,EA,1,12,Superbundle,565.49,11,386.76,2022-02-21,178.73,1333245,2022-02-01,2022-04-30,89,LEAN CUISINE Swt+Sour Chicken 12x238g CA,CAKK1K101,LEAN CUISINE,CAKK1,FROZEN MEALS,CE1 - CA LEAN CUISINE TRAYS
11005258,Company A,Company A ONTARIO,2022-03-03,Company A,ONTARIO,292278,292696,2022-03-03,295,741.38,24.5833,35.16,EA,1,12,Superbundle,864.35,10,351.6,2022-02-28,512.75,739728,2022-03-03,2022-03-09,7,LEAN CUISINE Swt+Sour Chicken 12x238g CA,CAKK1K101,LEAN CUISINE,CAKK1,FROZEN MEALS,CE1 - CA LEAN CUISINE TRAYS
11005258,Company A,Company A ONTARIO,2022-02-28,Company A,ONTARIO,292278,292696,2022-02-28,203,606.97,16.9167,35.16,EA,1,12,Superbundle,594.79,10,351.6,2022-02-28,243.19,1333245,2022-02-01,2022-04-30,89,LEAN CUISINE Swt+Sour Chicken 12x238g CA,CAKK1K101,LEAN CUISINE,CAKK1,FROZEN MEALS,CE1 - CA LEAN CUISINE TRAYS
11005258,Company A,Company A ONTARIO,2022-10-14,Company A,ONTARIO,292278,292696,2022-10-14,205,612.95,17.0833,39.36,EA,1,12,Superbundle,672.4,16,629.76,2022-10-10,42.64,853610,2022-09-08,2022-10-19,42,LEAN CUISINE Swt+Sour Chicken 12x238g CA,CAKK1K101,LEAN CUISINE,CAKK1,FROZEN MEALS,CE1 - CA LEAN CUISINE TRAYS
11005258,Company A,Company A ONTARIO,2022-10-14,Company A,ONTARIO,292278,292696,2022-10-14,205,612.95,17.0833,39.36,EA,1,12,Superbundle,672.4,16,629.76,2022-10-10,42.64,1464115,2022-10-13,2022-10-19,7,LEAN CUISINE Swt+Sour Chicken 12x238g CA,CAKK1K101,LEAN CUISINE,CAKK1,FROZEN MEALS,CE1 - CA LEAN CUISINE TRAYS
11005258,Company A,Company A ONTARIO,2022-10-16,Company A,ONTARIO,292278,292696,2022-10-16,183,547.17,15.25,39.36,EA,1,12,Superbundle,600.24,16,629.76,2022-10-10,-29.52,853610,2022-09-08,2022-10-19,42,LEAN CUISINE Swt+Sour Chicken 12x238g CA,CAKK1K101,LEAN CUISINE,CAKK1,FROZEN MEALS,CE1 - CA LEAN CUISINE TRAYS
11005258,Company A,Company A ONTARIO,2022-10-16,Company A,ONTARIO,292278,292696,2022-10-16,183,547.17,15.25,39.36,EA,1,12,Superbundle,600.24,16,629.76,2022-10-10,-29.52,1464115,2022-10-13,2022-10-19,7,LEAN CUISINE Swt+Sour Chicken 12x238g CA,CAKK1K101,LEAN CUISINE,CAKK1,FROZEN MEALS,CE1 - CA LEAN CUISINE TRAYS
11005258,Company A,Company A ONTARIO,2022-10-13,Company A,ONTARIO,292278,292696,2022-10-13,168,502.32,14.0,39.36,EA,1,12,Superbundle,551.04,16,629.76,2022-10-10,-78.72,853610,2022-09-08,2022-10-19,42,LEAN CUISINE Swt+Sour Chicken 12x238g CA,CAKK1K101,LEAN CUISINE,CAKK1,FROZEN MEALS,CE1 - CA LEAN CUISINE TRAYS
11005258,Company A,Company A ONTARIO,2022-10-13,Company A,ONTARIO,292278,292696,2022-10-13,168,502.32,14.0,39.36,EA,1,12,Superbundle,551.04,16,629.76,2022-10-10,-78.72,1464115,2022-10-13,2022-10-19,7,LEAN CUISINE Swt+Sour Chicken 12x238g CA,CAKK1K101,LEAN CUISINE,CAKK1,FROZEN MEALS,CE1 - CA LEAN CUISINE TRAYS
11005258,Company A,Company A ONTARIO,2022-10-17,Company A,ONTARIO,292278,292696,2022-10-17,159,475.41,13.25,39.36,EA,1,12,Superbundle,521.52,15,590.4,2022-10-17,-68.88,1464115,2022-10-13,2022-10-19,7,LEAN CUISINE Swt+Sour Chicken 12x238g CA,CAKK1K101,LEAN CUISINE,CAKK1,FROZEN MEALS,CE1 - CA LEAN CUISINE TRAYS
11005258,Company A,Company A ONTARIO,2022-10-17,Company A,ONTARIO,292278,292696,2022-10-17,159,475.41,13.25,39.36,EA,1,12,Superbundle,521.52,15,590.4,2022-10-17,-68.88,853610,2022-09-08,2022-10-19,42,LEAN CUISINE Swt+Sour Chicken 12x238g CA,CAKK1K101,LEAN CUISINE,CAKK1,FROZEN MEALS,CE1 - CA LEAN CUISINE TRAYS
11005258,Company A,Company A ONTARIO,2022-10-21,Company A,ONTARIO,292278,292696,2022-10-21,306,712.1,25.5,39.36,EA,1,12,Superbundle,1003.68,15,590.4,2022-10-17,413.28,1456279,2022-10-20,2022-10-26,7,LEAN CUISINE Swt+Sour Chicken 12x238g CA,CAKK1K101,LEAN CUISINE,CAKK1,FROZEN MEALS,CE1 - CA LEAN CUISINE TRAYS
11005258,Company A,Company A ONTARIO,2022-10-19,Company A,ONTARIO,292278,292696,2022-10-19,123,367.77,10.25,39.36,EA,1,12,Superbundle,403.44,15,590.4,2022-10-17,-186.96,853610,2022-09-08,2022-10-19,42,LEAN CUISINE Swt+Sour Chicken 12x238g CA,CAKK1K101,LEAN CUISINE,CAKK1,FROZEN MEALS,CE1 - CA LEAN CUISINE TRAYS
11005258,Company A,Company A ONTARIO,2022-10-19,Company A,ONTARIO,292278,292696,2022-10-19,123,367.77,10.25,39.36,EA,1,12,Superbundle,403.44,15,590.4,2022-10-17,-186.96,1464115,2022-10-13,2022-10-19,7,LEAN CUISINE Swt+Sour Chicken 12x238g CA,CAKK1K101,LEAN CUISINE,CAKK1,FROZEN MEALS,CE1 - CA LEAN CUISINE TRAYS
11005258,Company A,Company A ONTARIO,2022-10-22,Company A,ONTARIO,292278,292696,2022-10-22,288,671.93,24.0,39.36,EA,1,12,Superbundle,944.64,15,590.4,2022-10-17,354.24,1456279,2022-10-20,2022-10-26,7,LEAN CUISINE Swt+Sour Chicken 12x238g CA,CAKK1K101,LEAN CUISINE,CAKK1,FROZEN MEALS,CE1 - CA LEAN CUISINE TRAYS
