"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-03-01 00:00","2019","03","01","00:00","-7.0","","-11.2","","72","","7","","4","","16.1","","101.51","","","","-9","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-03-01 01:00","2019","03","01","01:00","-6.6","","-10.3","","75","","","","0","","16.1","","101.51","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-03-01 02:00","2019","03","01","02:00","-6.7","","-10.6","","74","","6","","13","","16.1","","101.50","","","","-12","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-03-01 03:00","2019","03","01","03:00","-5.6","","-8.9","","78","","6","","9","","16.1","","101.46","","","","-10","","Snow"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-03-01 04:00","2019","03","01","04:00","-5.5","","-8.4","","80","","6","","8","","16.1","","101.48","","","","-9","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-03-01 05:00","2019","03","01","05:00","-6.2","","-9.1","","80","","8","","5","","16.1","","101.49","","","","-9","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-03-01 06:00","2019","03","01","06:00","-6.3","","-9.1","","81","","8","","5","","16.1","","101.53","","","","-9","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-03-01 07:00","2019","03","01","07:00","-7.8","","-10.4","","82","","","M","4","","16.1","","101.59","","","","-10","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-03-01 08:00","2019","03","01","08:00","-5.8","","-8.2","","83","","32","","8","","16.1","","101.58","","","","-10","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-03-01 09:00","2019","03","01","09:00","-4.1","","-7.9","","75","","","M","4","","16.1","","101.62","","","","-6","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-03-01 10:00","2019","03","01","10:00","-3.4","","-7.9","","71","","8","","11","","16.1","","101.59","","","","-8","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-03-01 11:00","2019","03","01","11:00","-2.8","","-7.7","","69","","8","","8","","16.1","","101.60","","","","-6","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-03-01 12:00","2019","03","01","12:00","-1.8","","-7.1","","67","","9","","13","","16.1","","101.57","","","","-6","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-03-01 13:00","2019","03","01","13:00","-1.2","","-6.7","","66","","10","","13","","16.1","","101.54","","","","-5","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-03-01 14:00","2019","03","01","14:00","-1.4","","-5.8","","72","","8","","15","","16.1","","101.47","","","","-6","","NA"
