"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-06-01 00:00","2019","06","01","00:00","11.1","","7.3","","77","","9","","13","","16.1","","99.84","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-06-01 01:00","2019","06","01","01:00","11.5","","8.0","","79","","8","","11","","16.1","","99.83","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-06-01 02:00","2019","06","01","02:00","12.5","","8.2","","75","","8","","18","","16.1","","99.83","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-06-01 03:00","2019","06","01","03:00","11.4","","8.8","","84","","7","","22","","16.1","","99.79","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-06-01 04:00","2019","06","01","04:00","10.6","","7.9","","83","","7","","18","","16.1","","99.76","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-06-01 05:00","2019","06","01","05:00","10.8","","8.1","","83","","9","","9","","16.1","","99.81","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-06-01 06:00","2019","06","01","06:00","11.2","","8.4","","83","","6","","8","","16.1","","99.84","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-06-01 07:00","2019","06","01","07:00","12.4","","9.1","","80","","10","","9","","16.1","","99.88","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-06-01 08:00","2019","06","01","08:00","12.8","","8.9","","77","","8","","18","","16.1","","99.88","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-06-01 09:00","2019","06","01","09:00","12.4","","8.7","","78","","8","","21","","16.1","","99.92","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-06-01 10:00","2019","06","01","10:00","13.4","","10.0","","80","","8","","28","","16.1","","99.92","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-06-01 11:00","2019","06","01","11:00","13.1","","10.6","","85","","7","","28","","16.1","","99.93","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-06-01 12:00","2019","06","01","12:00","11.5","","9.6","","88","","8","","18","","16.1","","99.93","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-06-01 13:00","2019","06","01","13:00","12.1","","9.7","","85","","8","","18","","16.1","","99.86","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-06-01 14:00","2019","06","01","14:00","12.7","","10.1","","84","","8","","18","","16.1","","99.77","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-06-01 15:00","2019","06","01","15:00","14.0","","10.6","","80","","8","","18","","16.1","","99.66","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-06-01 16:00","2019","06","01","16:00","15.8","","11.0","","73","","11","","13","","16.1","","99.70","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-06-01 17:00","2019","06","01","17:00","10.2","","","M","","M","21","","9","","16.1","","99.78","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-06-01 18:00","2019","06","01","18:00","11.7","","","M","","M","27","","5","","16.1","","99.76","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-06-01 19:00","2019","06","01","19:00","11.7","","","M","","M","8","","11","","12.9","","99.57","","","","","","Rain"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-06-01 20:00","2019","06","01","20:00","11.1","","","M","","M","22","","8","","14.5","","99.65","","","","","","NA"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-06-01 21:00","2019","06","01","21:00","11.7","","","M","","M","18","","5","","9.7","","99.70","","","","","","Haze"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-06-01 22:00","2019","06","01","22:00","11.0","","","M","","M","27","","11","","0.4","","99.77","","","","","","Fog"
"-79.40","43.63","TORONTO CITY CENTRE","6158359","2019-06-01 23:00","2019","06","01","23:00","","M","","M","","M","25","","11","","6.4","","","M","","","","","Haze"
